Gabriela;Fürrer;Zug;GR;21;GF_7803;Mir ist es wichtig, dass es in der Stadt Zug Perspektiven und erschwinglichen Wohnraum für alle Einwohner*innen gibt, damit auch die Jungen, die Handwerker*innen, das Pflegepersonal, die Renter*innen, die von AHV und Pensionskasse leben etc. hier wohnen b;Dozentin Pädagogik/Didaktik/Psychologie Pädagogische Hochschule Luzern;Verheiratet mit 3 Kindern;https://www.linkedin.com/in/gabriela-f%C3%BCrrer-183741b3/;Mitglied der Bildungskommission der Stadt Zug;"SAC Rossberg;Pro Velo Zug;Vorstand Wegunterhaltsgesellschaft Weissenboden-Ruogig (Schächental);Jodelchor PHLU;Veteranin Pfadi Stadt Zug;VCS;Terre des femmes;Sozialwerke Pfarrer Sieber;Frauen Solarprojekt Nicaragua";;0
Magdalena;Carlen;Zug;GR;23;MC_6559;Ich möchte mich für eine klimafreundliche, feministische und soziale Politik einsetzten.;Pflegefachfrau HF;Verheiratet mit 3 Kindern;;;"Feministisches Frauenstreikkollektiv Zug;Pflegeausschuss Unia;Trachtenchor Zug;Pflegegruppe Zug Unia;Pflegedurchbruch";"Mir ist der Respekt vor der Natur, die Gleichstellung, die Gesundheit der Kinder und Jugendlichen, die Familie, das Gesundheitswesen, die Bezahlung von Care-Arbeit und die Selbstständigkeit von älteren Menschen und Menschen mit Beeinträchtigung wichtig.
I";0
Florence;Hartmann;Zug;GR;25;FH_7792;Ich setzte mich ein für eine soziale und nachhaltige Stadt Zug, die lebenswert und bezahlbar für alle bleibt.;Finanzmarktanalystin;;https://www.instagram.com/florence.provence/;;Kassierin Orchester Cham-Hünenberg;;0
Johanna;Thommen;Zug;GR;31;JT_7356;Umdenken, wenn nicht jetzt, wann dann? ;Pflegefachfrau HF;1 Tochter;;"Vorstand insieme-cerebral Zug;Stiftungsrat Stiftung Maihof;PeKo Mitglied Zuger Kantonsspital";"SBK;clapappella bodymusic";;0
Luzian;Franzini;Zug;GR;32;LF_6158;0;Ökonom, Co-Generalsekretär VSS ;ledig;"https://twitter.com/luzian_franzini; https://www.instagram.com/luzian_franzini/; https://www.facebook.com/luzian.franzini";Kantonsrat Stadt Zug;"Vorstand Pro Velo Zug;Präsident Gewerkschaftsbund Kanton Zug;Vorstand VPOD Zug;Mitglied SAC Rossberg;Mitglied Letzibuzäli;Mitglied Benevol Zug";Klimaschutz, bezahlbarer Wohnraum, Gleichstellung: Für ein Zug, dass die Herausforderungen der nächsten Jahre anpackt.;0
Oria;Cudicio;Zug;GR;33;OC_6048;Mit Alternativen kommen wir weiter!;Lehrerin, Psychologin;2 Kinder;;Mitglied Schulkommission Zug;;;0
Tekla;Hahin;Zug;GR;36;TH_7755;Mein Herz schlägt für die Gleichstellung und Toleranz anderen gegenüber.;Oberstufenlehrperson;;https://www.instagram.com/teklahahin/;;;Ein offenes Ohr und Empathie entschärft Konflikte und weckt die Neugier und Zuversicht auf kreative Lösungen.;0
Natalie;Chiodi;Zug;GR;37;NC_5922;alternativ - grün - links (aber nicht radikal);Schulische Heilpädagogin;;;;"NETWORK ANTHROPIA;Redaktion BULLETIN der Alternativen - die Grünen Zug;Lehrer*innenverein;diverse Naturschutz- und Menschenrechtsorganisationen";;0
Isabelle;Lemaitre;Zug;GR;38;IL_5891;Für eine nachhaltige Entwicklung, damit auch künftige Generationen unsere Welt geniessen können. ;Product & Key Account Manager (Marketing & Sales);Verheiratet mit 2 Kindern;;;;;0
Ursula;Hotz;Zug;GR;39;UH_6854;Mit meiner Kandidatur für die Grünen, unterstütze ich die Partei welche mir am nächsten steht.;Sozialpädagogin;;;;Imkerverein Zug;;0
